dT bottom left,dT bottom right,dT top left,dT top right,dT avg,dT std dev
20.12,19.98,20.59,20.22,20.23,0.26
20.19,20.22,20.74,20.39,20.39,0.25
20.09,20.25,20.69,20.53,20.39,0.27
20.09,20.27,20.74,20.43,20.38,0.28
20.29,20.43,20.95,20.61,20.57,0.29
20.27,20.40,21.03,20.61,20.58,0.33
19.92,20.15,20.67,20.29,20.26,0.31
20.07,20.03,20.72,20.26,20.27,0.32
20.19,20.31,20.85,20.30,20.41,0.30
20.15,20.31,20.87,20.47,20.45,0.31
20.22,20.32,20.87,20.46,20.47,0.29
19.98,20.15,20.56,20.30,20.25,0.25
19.76,20.08,20.43,20.32,20.15,0.30
20.11,20.49,20.74,20.60,20.49,0.27
20.16,20.40,20.79,20.54,20.47,0.26
19.50,19.87,20.11,20.03,19.88,0.27
20.00,20.10,20.75,20.27,20.28,0.33
20.25,20.29,20.94,20.51,20.50,0.32
20.07,20.41,20.91,20.78,20.54,0.38
20.10,20.25,20.86,20.49,20.43,0.33
