Mchi,dMchi,ct,alphaD,xsec(pb),mA,mA/m1,m1,m2,delta
5.2500,0.5000,100.0000,0.1,2.879007068,10.5000,2.1000,5.0000,5.5000,0.1000
5.2500,0.5000,100.0000,aEM,0.362786827,10.5000,2.1000,5.0000,5.5000,0.1000
5.2500,0.5000,10.0000,0.1,4.24041044,10.5000,2.1000,5.0000,5.5000,0.1000
5.2500,0.5000,10.0000,aEM,1.18555189,10.5000,2.1000,5.0000,5.5000,0.1000
5.2500,0.5000,1.0000,0.1,13.7939352,10.5000,2.1000,5.0000,5.5000,0.1000
5.2500,0.5000,1.0000,aEM,4.217536,10.5000,2.1000,5.0000,5.5000,0.1000
5.5000,1.0000,100.0000,0.1,0.00020785129,10.5000,2.1000,5.0000,6.0000,0.2000
5.5000,1.0000,100.0000,aEM,0.00020785583,10.5000,2.1000,5.0000,6.0000,0.2000
5.5000,1.0000,10.0000,0.1,0.002078544,10.5000,2.1000,5.0000,6.0000,0.2000
5.5000,1.0000,10.0000,aEM,0.0020787745,10.5000,2.1000,5.0000,6.0000,0.2000
5.5000,1.0000,1.0000,0.1,0.020787151,10.5000,2.1000,5.0000,6.0000,0.2000
5.5000,1.0000,1.0000,aEM,0.020810508,10.5000,2.1000,5.0000,6.0000,0.2000
50.4000,4.8000,100.0000,0.1,1.12475239331,100.8000,2.1000,48.0000,52.8000,0.1000
50.4000,4.8000,100.0000,aEM,0.161439928519,100.8000,2.1000,48.0000,52.8000,0.1000
50.4000,4.8000,10.0000,0.1,1.89137634088,100.8000,2.1000,48.0000,52.8000,0.1000
50.4000,4.8000,10.0000,aEM,0.50028545802,100.8000,2.1000,48.0000,52.8000,0.1000
50.4000,4.8000,1.0000,0.1,5.8721064896,100.8000,2.1000,48.0000,52.8000,0.1000
50.4000,4.8000,1.0000,aEM,1.4844702591,100.8000,2.1000,48.0000,52.8000,0.1000
52.8000,9.6000,100.0000,0.1,3.7194213e-06,100.8000,2.1000,48.0000,57.6000,0.2000
52.8000,9.6000,100.0000,aEM,3.7192762e-06,100.8000,2.1000,48.0000,57.6000,0.2000
52.8000,9.6000,10.0000,0.1,3.7192291e-05,100.8000,2.1000,48.0000,57.6000,0.2000
